Sample:	'1
File name:	Default_20230203_120555.FD3
Run date:	'11:59:33, 02/03/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
290.0	364.2	133.6	-45.71	-123.6	-77.84	3.000	149.4	443.7	 1021	 1678	 1929	 1713	 1399	 1749	 2836	 1635	110.9	-17.07	-13.98	-14.18	-11.81	-11.63	-10.70	-9.660	-9.956	-8.808	-7.206	-9.332	-7.732	-8.120	-6.694	-6.008	-2.846	-2.160	-3.631	-4.195	-3.913	-4.496	-4.316	-3.411	-3.530	-3.626	-3.621	-2.862	-2.743	-2.799	-2.763	-2.813	-2.917	-3.065	-2.675	-3.338	-3.196	-3.302	-3.225	-3.146	-2.793	-2.871	-2.505	-1.765	-0.890	0.010	0.349	0.639	-0.295	0.043	-0.317	0.208	-0.516	0.956	4.406	7.921	6.412	2.871	-1.342	-3.986	-4.704
295.0	478.3	263.7	27.41	-99.04	-59.62	62.34	178.7	510.0	 1051	 1786	 2689	 2142	 1261	605.9	896.3	 2781	 2373	139.5	-14.90	-12.82	-9.904	-10.55	-8.935	-10.44	-9.096	-7.473	-7.286	-10.03	-7.860	-7.574	-6.448	-5.320	-2.403	-1.893	-2.757	-4.001	-3.587	-3.093	-3.861	-3.424	-3.226	-3.300	-2.981	-2.524	-1.923	-2.535	-2.500	-3.198	-2.917	-2.552	-2.802	-3.556	-2.613	-3.310	-2.609	-3.248	-2.967	-2.800	-2.150	-1.457	-1.161	0.205	0.411	1.679	1.276	0.583	0.369	-0.275	-1.685	-2.487	-1.368	-0.767	0.121	5.579	10.21	8.287	-1.748
300.0	472.3	279.6	27.51	-64.74	-29.73	46.93	214.7	528.5	 1011	 1677	 2490	 2493	 1270	354.1	236.5	 1041	 3405	 1736	45.34	-11.97	-10.09	-11.63	-9.844	-9.913	-7.838	-7.980	-8.644	-7.793	-7.479	-6.136	-6.811	-3.567	-3.713	-1.347	-2.855	-3.126	-4.039	-3.347	-3.907	-2.646	-3.104	-3.107	-2.760	-2.238	-1.446	-2.483	-2.495	-3.459	-2.769	-2.449	-2.960	-2.605	-3.427	-3.205	-3.179	-2.624	-3.106	-2.537	-2.341	-1.161	-1.465	-0.372	0.030	1.302	1.881	1.057	0.259	-0.690	-2.747	-2.496	-3.363	-3.708	-2.448	-1.532	3.255	13.13	11.18
305.0	403.4	296.2	30.38	-77.87	-27.50	26.14	175.5	486.1	904.1	 1596	 2133	 2397	 1450	288.0	84.19	243.5	 1529	 3410	317.7	5.583	-12.10	-9.072	-10.08	-9.338	-9.495	-8.961	-7.679	-7.666	-8.337	-7.220	-6.365	-4.651	-3.330	-2.163	-2.779	-3.262	-4.503	-3.747	-3.281	-3.812	-3.149	-2.771	-2.554	-2.731	-2.215	-2.991	-3.018	-3.547	-3.180	-2.395	-2.642	-2.980	-3.001	-3.844	-3.055	-2.781	-2.832	-2.555	-1.571	-1.530	-1.239	-0.620	-0.826	0.101	0.516	0.760	0.472	-0.349	-1.889	-2.878	-4.219	-3.887	-4.187	-3.227	-2.730	1.507	7.057
310.0	298.7	161.9	-19.31	-88.48	-51.08	32.92	132.7	388.6	729.9	 1251	 1668	 1717	 1357	513.8	71.18	56.10	359.0	 1412	 2277	 1234	80.75	-8.462	-10.48	-8.843	-9.546	-9.620	-6.844	-7.822	-8.244	-7.871	-6.924	-4.550	-3.493	-2.541	-3.356	-3.322	-4.553	-4.382	-3.526	-3.703	-3.351	-3.480	-2.807	-3.261	-2.467	-3.542	-2.840	-3.385	-3.025	-2.509	-2.528	-3.098	-3.066	-3.322	-3.105	-2.978	-2.717	-2.831	-2.088	-2.067	-1.806	-1.167	-1.323	-0.725	-0.322	-0.312	-0.360	-0.897	-1.441	-2.431	-3.480	-3.821	-3.720	-3.740	-3.636	-3.165	-1.734
315.0	184.3	104.3	-44.20	-83.53	-77.44	0.284	73.81	248.9	550.1	906.2	 1217	 1180	850.3	613.5	285.6	27.86	85.13	318.2	712.5	 2482	 1840	106.2	-9.498	-8.260	-8.987	-8.895	-8.002	-7.767	-8.031	-7.556	-6.929	-5.881	-4.774	-3.862	-2.895	-4.459	-4.500	-4.613	-3.668	-3.027	-3.309	-4.276	-2.768	-3.632	-3.429	-3.501	-3.476	-3.041	-2.802	-3.047	-2.848	-3.433	-3.084	-3.698	-3.560	-2.964	-3.220	-2.659	-2.847	-2.436	-2.013	-1.820	-1.393	-1.689	-1.155	-0.987	-1.795	-2.238	-2.522	-2.837	-2.456	-2.475	-2.964	-4.184	-4.182	-4.036	-3.664
320.0	63.35	23.51	-57.06	-80.25	-75.82	-24.88	44.03	185.8	410.6	698.8	940.2	889.7	591.9	349.2	469.2	123.2	26.73	71.55	164.5	954.9	 2986	 1396	46.88	-6.877	-8.812	-8.433	-7.929	-8.087	-7.897	-6.347	-6.777	-5.860	-4.735	-4.292	-5.181	-5.114	-4.103	-3.995	-3.469	-3.987	-3.949	-4.246	-4.210	-3.481	-3.702	-3.269	-2.761	-3.262	-3.252	-2.974	-2.723	-3.709	-3.304	-3.367	-3.621	-2.680	-3.804	-3.597	-3.338	-2.852	-2.466	-2.518	-1.788	-2.091	-2.187	-1.339	-2.247	-2.053	-2.658	-3.573	-3.036	-2.899	-2.337	-3.542	-3.996	-4.545	-3.902
325.0	61.68	-43.73	-99.63	-63.99	-58.25	-12.46	45.57	163.5	296.2	529.0	699.3	668.9	446.0	185.9	346.4	329.5	45.57	19.03	42.62	224.0	 1377	 2950	932.8	11.18	-7.652	-7.873	-8.566	-6.997	-7.956	-7.152	-6.822	-5.103	-5.204	-4.801	-3.904	-4.783	-4.821	-4.223	-4.461	-3.614	-4.385	-4.776	-4.201	-3.768	-4.027	-3.587	-2.988	-3.751	-2.992	-2.753	-2.751	-3.328	-2.814	-2.860	-2.947	-2.943	-3.677	-3.439	-3.400	-2.737	-2.740	-2.727	-2.455	-2.243	-2.193	-1.911	-2.653	-2.404	-3.183	-3.597	-3.643	-3.346	-2.669	-2.731	-3.369	-3.469	-4.125
330.0	-21.08	-60.43	-29.00	-54.17	-27.28	24.70	59.26	142.6	222.9	386.4	494.7	478.6	313.3	107.3	127.8	289.5	240.3	51.34	12.49	52.94	325.6	 1256	 2275	924.2	64.16	-6.511	-7.785	-6.788	-7.853	-7.376	-7.157	-5.814	-5.574	-5.119	-4.361	-4.714	-4.639	-4.972	-4.107	-4.498	-4.188	-4.592	-4.120	-3.573	-3.810	-3.724	-3.387	-3.528	-2.925	-2.663	-2.690	-3.454	-3.293	-3.250	-3.186	-3.062	-2.898	-3.211	-3.506	-3.083	-2.473	-2.732	-2.564	-3.063	-2.386	-2.482	-2.851	-2.592	-3.368	-3.882	-3.462	-3.478	-3.499	-3.039	-2.993	-2.345	-3.803
335.0	-77.46	-99.98	-39.19	-1.605	23.77	62.94	98.66	151.5	203.2	281.6	361.2	320.1	220.1	80.92	50.72	97.84	241.9	232.3	31.31	15.99	75.98	282.7	710.3	 2321	 1451	88.37	-7.275	-7.082	-8.825	-7.853	-6.059	-6.551	-4.866	-5.506	-3.679	-4.274	-4.568	-4.674	-4.654	-3.802	-4.257	-4.667	-4.122	-3.987	-3.932	-3.496	-3.232	-3.455	-3.113	-2.936	-2.577	-3.529	-3.159	-3.272	-3.025	-3.385	-3.100	-2.900	-3.891	-2.882	-3.118	-3.215	-3.122	-3.195	-2.759	-3.010	-3.251	-3.077	-3.212	-3.785	-3.303	-3.850	-3.540	-4.067	-3.155	-2.961	-2.951
