Sample:	'1
File name:	Default_20230301_160956.FD3
Run date:	'16:03:35, 03/01/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
325.0	499.4	534.4	501.5	335.9	216.0	205.7	223.5	369.7	497.2	642.2	847.0	910.2	781.9	632.4	645.0	510.7	195.1	155.9	231.5	 1092	 6354	9999.9	 1948	98.21	12.91	8.600	5.798	5.123	4.109	3.021	2.469	2.571	2.200	2.592	3.799	1.114	1.281	1.256	1.283	1.132	2.468	3.193	1.861	1.875	1.733	2.178	1.417	1.981	1.539	1.489	0.720	1.475	0.834	0.813	1.265	1.405	0.865	1.664	1.520	1.476	1.774	1.488	1.608	2.274	1.429	2.591	2.155	2.057	1.303	2.079	2.330	1.473	1.757	1.871	1.314	0.716	0.049
330.0	476.7	605.5	532.2	356.6	270.7	236.4	242.0	338.7	445.3	590.2	743.1	818.4	720.4	595.0	509.1	510.2	371.1	164.0	119.2	292.4	 1539	 5810	9999.9	 7432	625.3	16.12	7.365	6.570	4.953	3.027	3.681	3.437	2.261	2.809	2.031	2.233	2.260	1.575	1.208	2.046	1.489	1.441	1.352	2.058	1.526	1.468	1.288	2.174	1.807	1.109	1.034	1.258	0.978	1.150	1.139	1.248	0.970	1.260	1.013	1.336	1.792	1.319	1.831	1.951	2.105	2.104	1.625	1.819	1.400	2.043	1.725	1.365	1.367	1.601	1.401	1.212	0.540
335.0	477.1	608.7	580.9	423.4	306.0	291.9	268.5	340.9	416.0	522.4	647.6	723.5	678.4	582.1	479.5	397.6	387.7	330.0	135.0	131.2	391.8	 1335	 3403	9999.9	9999.9	174.3	13.05	10.61	7.953	4.774	3.732	3.333	2.277	2.065	1.527	2.251	1.713	1.487	2.412	2.008	1.661	1.276	2.146	1.243	1.627	1.755	1.239	1.962	1.280	1.117	1.209	1.214	0.933	1.153	0.820	1.090	0.902	1.198	1.360	0.864	1.769	1.450	0.836	1.449	1.698	1.476	1.541	2.038	1.518	1.433	2.638	1.119	1.298	0.414	0.406	1.232	1.098
340.0	466.7	535.4	583.5	466.4	351.9	307.2	302.9	334.7	427.7	515.5	591.7	667.2	638.9	565.3	474.8	361.9	314.7	397.4	243.2	109.4	150.7	343.1	809.5	 4784	9999.9	 8981	129.9	13.63	10.34	8.201	5.484	4.222	3.900	3.193	3.040	2.920	1.461	2.072	2.117	2.248	1.108	1.687	2.193	1.967	2.223	1.942	1.122	1.563	1.527	2.101	1.145	0.984	1.073	1.173	1.702	0.831	1.660	1.454	1.486	1.337	1.803	1.848	1.124	0.970	1.855	0.932	1.488	1.479	1.929	1.455	1.444	0.936	1.277	0.826	0.687	0.248	0.985
345.0	479.3	616.7	590.3	405.1	408.8	369.8	320.1	357.3	424.9	502.9	571.3	617.1	620.6	550.5	488.9	365.7	284.0	315.4	353.8	161.7	112.8	138.0	227.7	 1158	 6899	9999.9	 6201	84.87	12.28	9.478	7.884	5.084	4.400	3.798	3.511	2.823	1.631	2.195	1.649	1.536	0.975	1.302	1.875	1.656	1.566	2.056	1.427	1.267	1.548	1.545	1.206	1.416	1.223	1.384	1.469	0.943	1.549	1.077	1.184	1.029	1.457	1.616	1.556	1.542	1.763	1.383	1.355	1.037	1.640	1.655	1.558	0.930	1.299	0.957	1.284	0.289	0.702
350.0	464.2	541.1	548.9	452.6	435.8	400.7	364.4	391.4	412.6	483.4	518.1	581.9	579.6	528.6	473.3	370.3	286.8	257.0	310.9	302.0	171.3	111.9	116.7	310.6	 1691	 6410	9999.9	 6281	542.1	15.35	9.194	6.645	3.901	3.526	3.561	3.767	2.441	2.463	2.460	1.776	1.883	2.050	1.373	1.302	1.461	1.738	2.043	1.861	1.458	1.704	1.416	1.346	1.336	1.465	1.755	1.334	1.620	1.313	1.579	1.153	1.798	1.795	1.733	0.996	1.753	1.184	2.056	1.818	1.344	1.682	1.256	1.187	1.468	1.378	1.420	0.860	0.488
355.0	338.2	471.0	518.0	483.1	408.1	467.3	408.0	402.3	431.6	463.5	504.1	533.9	540.3	512.7	460.3	382.2	303.8	267.9	258.9	297.9	299.5	161.3	118.3	141.2	432.1	 1468	 3775	9999.9	 9986	146.0	13.86	10.34	6.409	4.473	3.513	3.394	3.159	2.496	2.162	2.633	1.693	2.117	1.653	1.731	1.675	2.490	1.327	1.529	1.860	1.304	1.967	1.625	1.641	1.703	1.312	1.506	1.720	1.024	1.736	1.547	1.611	1.747	1.461	0.950	1.421	1.052	2.424	1.458	1.912	1.568	1.354	0.916	1.148	0.959	1.036	0.869	1.155
360.0	320.2	438.5	520.9	502.6	510.9	437.7	438.0	419.7	448.5	452.4	490.6	518.4	525.4	503.5	459.0	382.0	327.7	291.3	259.5	253.3	332.4	254.7	141.2	120.9	162.6	378.3	900.9	 5321	9999.9	 7917	104.0	13.19	8.525	5.776	4.879	4.960	2.079	3.930	2.743	2.074	1.372	1.342	1.596	1.092	1.130	2.333	1.659	1.594	2.207	1.130	1.457	1.427	1.744	2.314	1.012	0.862	1.634	1.223	1.345	0.990	2.265	1.584	1.778	1.081	1.244	1.733	1.748	1.466	1.261	2.265	1.204	1.068	1.001	0.852	1.154	0.798	1.099
365.0	345.1	482.6	527.8	518.8	498.7	447.7	505.6	432.7	461.8	436.2	458.4	476.4	502.9	488.2	447.3	395.3	343.8	303.3	283.1	252.1	286.9	340.2	203.1	135.2	114.7	144.6	250.1	 1301	 7466	9999.9	 5600	66.82	11.35	7.694	4.725	4.652	3.544	3.100	2.784	2.886	1.932	1.813	1.301	2.324	2.169	2.434	1.895	1.410	2.408	1.533	1.088	1.726	2.357	1.909	1.473	1.037	1.433	1.532	0.901	1.740	1.689	0.895	1.311	1.145	1.493	1.724	1.542	1.361	1.147	0.885	1.863	1.541	1.123	0.825	1.106	0.973	1.537
370.0	345.2	462.2	547.9	534.5	490.6	493.6	508.3	459.5	454.4	440.7	475.7	462.8	483.5	484.9	457.7	409.5	372.4	337.6	307.2	285.5	268.4	306.8	305.3	200.0	132.6	113.1	118.7	338.1	 1840	 6939	9999.9	 5464	83.93	12.80	7.614	4.956	4.401	3.377	3.743	2.378	2.449	2.250	1.432	2.329	1.743	2.206	1.798	1.492	1.683	1.608	1.231	2.046	2.114	1.132	1.829	1.462	1.210	1.343	0.856	1.281	1.851	1.520	1.377	1.220	1.260	2.061	1.716	1.432	1.284	0.549	1.157	1.150	1.101	1.054	0.738	1.227	1.231
375.0	340.2	452.8	515.6	526.6	545.5	480.5	520.8	469.0	448.9	466.1	484.0	465.6	470.9	457.4	443.2	425.9	386.5	358.5	345.1	315.0	290.1	277.5	298.8	308.6	188.4	128.6	102.3	136.3	453.0	 1585	 4192	9999.9	 8250	111.7	11.02	7.756	5.592	4.332	4.207	3.101	3.350	2.507	2.093	1.227	2.383	2.141	2.434	1.297	1.370	1.499	1.406	2.078	1.751	1.884	1.756	1.556	1.796	0.805	0.594	0.996	1.204	1.450	1.125	1.030	1.718	1.585	1.123	1.584	1.536	1.211	1.304	1.133	1.147	0.744	1.331	1.532	1.105
